Hole Depth,Hook Load,Rotary RPM,Rotary Torque,Weight on Bit,Differential Pressure,Gamma at Bit,Rate Of Penetration
7313,126.3,59,10.609,18,622.1,80.88,130.44
7314,125.2,59,8.946,12.9,512.1,84.56,140.17
7315,124.9,59,8.833,13.4,503.8,91.91,145.31
7316,124.5,59,9.054,15.5,534.7,95.59,145.31
7317,124.7,59,10.504,15.7,594,88.23,144.63
7318,124.1,59,9.92,14.9,576.7,88.23,143.12
7319,124.8,59,8.953,13.7,559.8,88.23,142.51
7320,124.6,59,9.088,13.6,517.6,88.23,145.77
7321,124.6,59,8.938,13.9,535.8,102.94,145.43
7322,124.6,59,9.126,13.5,529.6,99.26,144.5
7323,124.6,59,8.875,13.8,537.2,95.59,144.41
7324,124.2,60,9.238,14.9,558.3,95.59,143.73
7325,123.8,60,9.942,15.1,576.8,95.59,136.13
7326,123.5,59,8.927,15.4,579.6,95.59,129.98
